epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.363,1.39877,1.59473,1.1372,0.774,0.40987,0.46646,0.23645,1.39417,1.21648,1.17444,0.000467977,0.000467977,0.000467977
2,1002.39,1.37564,1.08637,1.13494,0.46761,0.38524,0.42423,0.22577,1.37177,1.0648,1.22266,0.000757337,0.000757337,0.000757337
3,1496.86,1.33393,0.99767,1.12734,0.54836,0.48499,0.48859,0.2658,1.29022,1.0226,1.17918,0.000858069,0.000858069,0.000858069
4,1992.97,1.28046,0.93941,1.10269,0.68125,0.43387,0.5367,0.29064,1.19892,0.87287,1.10879,0.000580174,0.000580174,0.000580174
5,2487.46,1.18955,0.84194,1.05625,0.63065,0.55313,0.57651,0.32787,1.14162,0.80784,1.07514,0.000297232,0.000297232,0.000297232
