epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1070.52,1.36321,1.32056,1.12863,0.57267,0.493,0.52213,0.28545,1.27083,0.9672,1.11891,0.000473158,0.000473158,0.000473158
2,2138.71,1.34447,1.00475,1.13157,0.59708,0.49862,0.52,0.27684,1.31641,1.0544,1.14624,0.000940091,0.000940091,0.000940091
3,3170.7,1.34181,1.00182,1.13629,0.47608,0.52153,0.48932,0.26729,1.3033,1.02158,1.13299,0.00139759,0.00139759,0.00139759
4,4198.37,1.34051,0.97799,1.13531,0.62687,0.50027,0.52429,0.27973,1.31023,0.99734,1.14976,0.00138656,0.00138656,0.00138656
5,5688.54,1.30414,0.94781,1.11787,0.58939,0.53119,0.54163,0.29744,1.26798,0.91192,1.12516,0.00137241,0.00137241,0.00137241
6,7494.17,1.26071,0.89715,1.09753,0.68768,0.51557,0.56564,0.3118,1.23628,0.84887,1.10917,0.00135826,0.00135826,0.00135826
7,8509.98,1.25024,0.89472,1.09697,0.67117,0.54335,0.57354,0.32259,1.19465,0.87383,1.08756,0.00134412,0.00134412,0.00134412
8,9537.66,1.23165,0.86939,1.08695,0.66295,0.55394,0.58837,0.33534,1.18035,0.82344,1.08298,0.00132997,0.00132997,0.00132997
9,10559.9,1.21255,0.85324,1.07913,0.67864,0.5549,0.59972,0.34166,1.18311,0.83852,1.09119,0.00131582,0.00131582,0.00131582
10,11581,1.18954,0.82192,1.06986,0.72299,0.57006,0.61368,0.35189,1.1531,0.78607,1.07832,0.00130168,0.00130168,0.00130168
11,12602.1,1.1524,0.80039,1.05344,0.65092,0.57913,0.59814,0.34528,1.14623,0.7987,1.07768,0.00128753,0.00128753,0.00128753
12,13618.5,1.15643,0.79353,1.05429,0.71981,0.5818,0.63697,0.36958,1.13581,0.7766,1.06282,0.00127338,0.00127338,0.00127338
