image_name,mae,rmse,imae,irmse
0000000112.png,471.74072,1381.5089,1.1310986,2.6152875
0000000113.png,478.15292,1372.1196,1.0699631,1.9195203
0000000114.png,478.96536,1456.2213,1.1474307,2.4046342
0000000115.png,468.52228,1536.7947,1.1081337,1.8047132
0000000116.png,471.94614,1519.4192,1.1580447,1.7879463
0000000117.png,498.8145,1463.4878,1.2529734,1.8138344
0000000118.png,495.25806,1363.5288,1.3160083,1.8439757
0000000119.png,444.57224,1258.133,1.3029661,1.8068459
0000000120.png,428.45178,1206.4629,1.2826259,1.789236
0000000121.png,472.16104,1378.7753,1.2817149,1.7807221
0000000122.png,472.84,1306.8595,1.2806137,1.7968224
0000000123.png,460.62885,1272.1202,1.294433,1.7913705
0000000124.png,487.58252,1414.0525,1.2800931,1.7758757
0000000125.png,506.19424,1663.5527,1.3611504,2.0211325
0000000126.png,530.8084,1525.2449,1.4775122,2.0739925
0000000127.png,520.8642,1765.654,1.4585372,2.1250498
0000000128.png,523.2695,1617.682,1.500131,2.1321108
0000000129.png,530.78107,1935.1565,1.4434171,2.2949624
0000000130.png,551.861,2204.9265,1.499313,2.6683776
0000000131.png,562.2106,2050.254,1.5074059,3.0026765
0000000132.png,520.74945,1913.2643,1.4079773,2.8155077
0000000133.png,501.39395,1851.0245,1.4193826,3.1970594
0000000134.png,508.3236,1805.5032,1.5088531,3.170096
0000000135.png,499.07455,1863.4904,1.4422061,3.3542147
0000000136.png,483.87448,1686.633,1.4229409,2.902387
0000000137.png,466.91324,1591.28,1.508074,3.9401321
0000000138.png,448.28528,1546.7812,1.3418283,3.036586
0000000139.png,450.45978,1599.4235,1.3815082,3.2485065
0000000140.png,427.2776,1548.091,1.2253433,2.7460108
0000000141.png,419.59628,1501.7758,1.1321083,2.1377356
0000000142.png,443.19385,1718.9623,1.1745646,2.6028461
0000000143.png,435.71924,1557.928,1.251879,2.232623
0000000144.png,451.79404,1632.3124,1.2697484,2.0912924
0000000145.png,451.67264,1505.9794,1.3005807,2.1883771
0000000146.png,464.1343,1481.5043,1.2937263,2.254377
0000000147.png,491.94235,1727.3469,1.2776672,2.3719532
0000000148.png,523.7396,1750.6456,1.3048217,2.0950153
0000000149.png,522.9452,1850.5946,1.288492,2.085653
0000000150.png,551.2578,1898.9238,1.3506142,2.1352458
0000000151.png,615.6007,2061.3252,1.4347416,2.4609287
0000000152.png,575.8404,1958.2594,1.3480681,2.2836246
0000000153.png,577.1731,1894.6095,1.3482251,2.365327
0000000154.png,553.8557,1756.6233,1.4091916,2.5210664
0000000155.png,570.2329,1979.4392,1.3381379,2.6556132
0000000156.png,537.0522,1767.5654,1.3286841,2.5766368
0000000157.png,553.0916,1934.5109,1.2831777,2.511301
0000000158.png,542.3464,1785.6058,1.3039536,2.7577171
0000000159.png,514.0397,1809.4624,1.2662615,2.9445999
0000000160.png,525.4593,1945.0105,1.2189698,2.75121
0000000161.png,576.2821,2089.4072,1.2745243,3.283541
0000000162.png,610.0232,2175.1868,1.3084788,3.2265298
0000000163.png,595.039,2212.9424,1.1948866,3.0120947
0000000164.png,598.17816,1976.8105,1.2171499,3.1903448
0000000165.png,651.2042,2055.7207,1.2960033,2.4279084
0000000166.png,655.8294,2059.307,1.2777997,2.3992217
0000000167.png,673.54224,2134.9407,1.3967477,4.0281734
0000000168.png,691.40424,2105.7466,1.2980039,3.4668803
0000000169.png,702.98724,2412.8948,1.2575145,3.4754772
0000000170.png,605.32153,2025.2493,1.145185,3.0941992
0000000171.png,613.84753,2007.7147,1.2525259,2.1615033
0000000172.png,585.8261,2034.533,1.2164353,2.319073
0000000173.png,620.20856,2069.1948,1.4283197,2.503139
0000000174.png,648.89166,2052.5347,1.4881139,2.5924873
0000000175.png,672.40814,2115.6497,1.5320652,2.983133
0000000176.png,658.19934,2098.6675,1.5524733,2.6159508
0000000177.png,608.97266,1985.2927,1.5913246,2.7279813
0000000178.png,585.9974,1759.233,1.5690901,2.5089517
0000000179.png,653.2694,1772.366,1.7548897,2.9230068
0000000180.png,670.9575,1899.6646,1.7737705,3.1062295
0000000181.png,672.20917,1787.7885,1.7226359,3.2980032
0000000182.png,661.1379,1614.0966,1.7167681,3.3813598
0000000183.png,643.38025,1744.6377,1.4920281,2.36841
0000000184.png,634.73615,1745.5588,1.4330529,2.5407503
0000000185.png,548.1739,1488.1685,1.3618835,2.1545951
0000000186.png,511.49777,1338.6469,1.4689887,2.2586386
0000000187.png,489.26404,1305.3846,1.5143862,2.2047012
0000000188.png,512.5335,1343.0999,1.5621969,2.1971743
0000000189.png,532.2129,1489.5275,1.6397358,3.122888
0000000190.png,544.8186,1376.5442,1.5230206,2.4161024
0000000191.png,624.23596,1848.7484,1.5846139,6.5700088
0000000192.png,561.21844,1505.7522,1.3819758,5.755515
0000000193.png,570.6956,1319.9214,1.4079212,3.4155726
0000000194.png,536.4631,1252.388,1.3328182,1.8315005
0000000195.png,536.58276,1232.7948,1.2317604,1.6994208
0000000196.png,477.57535,1285.0562,1.0655326,1.612203
0000000197.png,537.05676,1282.6989,1.2028426,1.6763763
0000000198.png,576.72095,1466.8906,1.1492783,1.7365478
0000000199.png,596.0619,1539.3566,1.0746479,1.8162755
0000000200.png,712.1886,1871.6471,1.2004912,2.9344306
0000000201.png,757.87006,1963.0074,1.4112132,5.1236205
0000000202.png,613.0306,1475.212,1.297023,4.825535
0000000203.png,526.45935,1232.5587,1.1477163,1.6433403
0000000204.png,468.5712,1234.5189,1.0827552,1.6497076
0000000205.png,473.11368,1385.3171,1.0980835,1.7585864
0000000206.png,531.30835,1491.1042,1.2990924,2.0069652
0000000207.png,556.1765,1479.9766,1.5468545,2.2888637
0000000208.png,486.9117,1607.2987,1.3509846,2.279517
0000000209.png,453.1643,1429.1722,1.2874495,2.0865045
0000000210.png,432.42267,1298.4976,1.1757917,2.3236728
0000000211.png,423.02527,1601.7979,1.227316,2.596599
0000000212.png,501.74036,1834.4105,1.468666,3.1677685
0000000213.png,533.4696,1817.7866,1.4442623,3.2711196
0000000214.png,563.7024,1976.7172,1.5213156,5.536657
0000000215.png,465.00085,1546.8341,1.3011211,2.718564
0000000216.png,470.77188,1462.4788,1.3749346,3.0471869
0000000217.png,468.6916,1189.0144,1.4216232,2.0825484
0000000218.png,471.62225,1327.0854,1.469263,2.2718341
0000000219.png,476.46103,1619.9434,1.4043978,2.617504
0000000220.png,481.73157,1737.5278,1.4008919,3.118866
0000000221.png,496.22266,1750.7167,1.5017351,5.9358635
0000000222.png,460.73126,1154.7488,1.487898,5.8727374
0000000223.png,436.3398,1137.0638,1.1908407,1.769479
0000000224.png,464.43707,1173.1471,1.3865708,1.80127
0000000225.png,497.10577,1164.5234,1.4659659,1.9134319
0000000226.png,486.77438,1156.2876,1.485503,1.9087775
0000000227.png,499.10507,1303.1897,1.4703122,1.9794521
0000000228.png,541.27545,1513.4518,1.5406854,2.0937386
0000000229.png,591.7473,2071.1396,1.5080098,2.7848845
0000000230.png,635.31116,2452.5916,1.5015858,4.074456
0000000231.png,682.9787,1988.5923,1.8713534,7.6972566
0000000232.png,603.36176,1604.468,1.461839,6.4928293
0000000233.png,516.2738,1345.7406,1.2929276,3.8424108
0000000234.png,605.5511,1410.528,1.6030086,4.0582967
0000000235.png,507.8751,1331.1694,1.173297,1.593283
0000000236.png,597.23413,1474.6438,1.4386748,1.8568364
0000000237.png,494.18832,1378.985,1.1884015,1.666712
0000000238.png,499.196,1365.6781,1.1943802,1.730481
0000000239.png,478.6992,1323.2095,1.1092215,1.6616411
0000000240.png,557.5055,1644.4415,1.3417987,2.1194732
0000000241.png,580.55975,2020.5349,1.2906735,2.7265248
0000000242.png,605.9731,2200.1304,1.3816396,4.433387
0000000243.png,617.4656,2036.9738,1.6525989,6.824507
0000000244.png,535.4362,1348.5885,1.4166229,2.6725945
0000000245.png,530.82214,1398.8602,1.4000746,1.9842174
0000000246.png,580.1644,1592.2909,1.5046546,2.1125453
0000000247.png,581.66223,1307.9543,1.5758638,2.1281042
0000000248.png,567.4177,1293.7594,1.5790986,2.2012131
0000000249.png,473.09375,1227.6166,1.343603,2.2037308
0000000250.png,537.75085,1189.7537,1.6484978,2.7478588
0000000251.png,502.56738,1379.6105,1.6709406,4.2103634
0000000252.png,520.46674,1648.1272,1.9743136,8.144091
0000000253.png,514.79175,1241.6442,1.7211896,2.3892734
0000000254.png,481.63574,1289.0117,1.644646,2.678769
0000000255.png,426.1842,1131.133,1.5917513,2.661171
0000000256.png,455.5933,1254.6364,1.5543741,3.2514832
0000000257.png,522.65283,1325.1428,1.646306,4.842145
0000000258.png,586.3056,1231.5222,1.8160398,2.489047
0000000259.png,757.9534,1429.6357,2.2314641,2.9538622
0000000260.png,502.8266,1142.1946,1.5002407,2.6687365
0000000261.png,510.49988,1051.6864,1.5725864,2.1479764
0000000262.png,471.33524,1018.665,1.354353,1.8181736
0000000263.png,488.01282,1018.9806,1.5594898,2.0071514
0000000264.png,454.70084,995.37714,1.3986276,1.7797734
0000000265.png,527.6853,1182.2604,1.6598848,2.1330159
0000000266.png,449.57635,1008.9397,1.332101,1.9153563
0000000267.png,473.56903,1359.323,1.4672436,2.9208288
0000000268.png,505.2894,1417.7605,1.6915939,4.185514
0000000269.png,488.33536,1131.9335,1.632306,5.0019417
0000000270.png,473.32373,993.58704,1.5934477,2.0543823
0000000271.png,436.84647,915.506,1.5459734,1.9717861
0000000272.png,408.7984,1095.2786,1.320477,1.7960649
0000000273.png,429.25558,1168.0785,1.3622012,2.0173135
0000000274.png,409.28537,1345.8125,1.2350283,2.3973958
0000000275.png,393.6432,1110.4906,1.3625252,2.7180479
0000000276.png,371.9426,1094.172,1.2025322,3.289575
0000000277.png,328.9346,1026.5502,1.0445371,1.5691195
0000000278.png,333.45865,1052.4988,1.1430426,1.8341764
0000000279.png,362.7725,1067.6383,1.2927679,1.8961307
0000000280.png,359.48865,1205.4191,1.2337438,2.0427282
0000000281.png,450.41824,1596.4017,1.4757777,2.8903325
0000000282.png,398.39685,1513.7927,1.3663243,4.382471
0000000283.png,441.4121,1500.1459,1.6322355,7.119796
0000000284.png,396.68842,1226.5386,1.4400822,2.0823433
0000000285.png,424.05234,1172.9011,1.5512238,2.3992264
0000000286.png,418.7889,1068.9547,1.5595857,4.436796
0000000287.png,422.6381,1230.1887,1.6019571,2.5467632
0000000288.png,424.95575,1394.9956,1.533759,2.2509758
0000000289.png,522.204,1534.7388,1.7519575,2.621173
0000000290.png,485.337,1359.413,1.7008933,3.281696
0000000291.png,567.4494,1533.5654,1.8888676,3.9816332
