image_name,mae,rmse,imae,irmse
2018-10-19-09-30-39_2018-10-19-09-31-02-413.png,1970.4243,4628.2236,2.622811,8.914589
2018-10-19-09-30-39_2018-10-19-09-31-03-418.png,2136.48,4552.5254,2.6398625,8.048601
2018-10-19-09-30-39_2018-10-19-09-31-06-915.png,1937.6621,3093.5713,2.5115073,7.3305078
2018-10-19-09-30-39_2018-10-19-09-31-08-916.png,2119.6409,4233.6504,2.1299646,6.3586855
2018-10-19-09-30-39_2018-10-19-09-31-10-423.png,1994.5328,3602.7402,2.1454413,7.2271633
2018-10-19-09-30-39_2018-10-19-09-31-21-427.png,2479.7244,6588.862,3.954148,10.413789
2018-10-19-09-30-39_2018-10-19-09-31-24-931.png,1827.1252,4654.2944,3.469146,9.305774
2018-10-19-09-30-39_2018-10-19-09-31-26-431.png,1907.4313,4083.8452,3.4982831,8.677293
2018-10-19-09-30-39_2018-10-19-09-31-29-934.png,1615.6005,4630.2354,2.808075,5.872082
2018-10-19-09-30-39_2018-10-19-09-31-36-438.png,2755.9736,4795.5693,2.1089551,6.5640607
2018-10-19-09-30-39_2018-10-19-09-31-40-940.png,1476.4823,2921.1985,2.425889,7.3636227
2018-10-19-09-30-39_2018-10-19-09-31-48-446.png,1773.4055,3528.2244,2.069751,6.213529
2018-10-19-09-30-39_2018-10-19-09-31-51-056.png,1672.117,2971.0789,1.9395027,5.3161817
2018-10-19-09-30-39_2018-10-19-09-31-54-254.png,1371.4113,2564.9282,2.0480044,5.4122157
2018-10-19-09-30-39_2018-10-19-09-32-01-553.png,1442.9279,3079.99,2.2325811,5.7574797
2018-10-19-09-30-39_2018-10-19-09-32-04-060.png,1842.5576,3954.2097,2.6193876,7.673557
2018-10-19-09-30-39_2018-10-19-09-32-10-565.png,2011.928,5653.3267,2.4351432,5.976129
2018-10-19-09-30-39_2018-10-19-09-32-12-064.png,2191.2114,3990.9146,2.0974236,5.6113257
2018-10-19-09-30-39_2018-10-19-09-32-17-066.png,2252.2122,3806.7632,2.215051,6.499963
2018-10-19-09-30-39_2018-10-19-09-32-17-566.png,2155.3025,3815.3994,2.156328,5.4690237
2018-10-19-09-30-39_2018-10-19-09-32-19-567.png,1992.9847,4170.115,2.3635795,5.327649
2018-10-19-09-30-39_2018-10-19-09-32-25-470.png,1986.2233,3785.483,2.2884617,5.837901
2018-10-19-09-30-39_2018-10-19-09-32-31-082.png,1703.6111,3475.1826,2.235671,6.307137
2018-10-19-09-30-39_2018-10-19-09-32-32-083.png,2041.74,4302.966,2.3230884,5.1751285
2018-10-19-09-30-39_2018-10-19-09-32-39-593.png,1660.7975,3830.6018,2.3304026,6.9795218
2018-10-19-09-30-39_2018-10-19-09-32-44-095.png,1546.7297,4392.464,2.5847206,6.614348
2018-10-19-09-30-39_2018-10-19-09-33-08-206.png,1831.2557,3639.5503,2.0380142,5.5490866
2018-10-19-09-30-39_2018-10-19-09-33-14-713.png,2496.8071,5500.531,2.3113487,5.371166
2018-10-19-09-30-39_2018-10-19-09-33-22-217.png,1671.6516,3829.3423,2.5593574,6.671116
2018-10-19-09-30-39_2018-10-19-09-33-24-717.png,1839.9027,4183.0225,2.8975024,8.224964
2018-10-19-09-30-39_2018-10-19-09-33-39-619.png,1442.3431,4228.3843,5.0120955,13.713503
2018-10-19-09-30-39_2018-10-19-09-33-46-722.png,1169.2557,4139.037,3.6592956,6.9845953
2018-10-19-09-30-39_2018-10-19-09-33-47-023.png,1051.835,3327.3674,3.5380926,7.10439
2018-10-19-09-30-39_2018-10-19-09-34-42-867.png,2291.6921,6092.633,3.172804,9.711005
2018-10-19-09-30-39_2018-10-19-09-34-43-368.png,2382.8694,5243.5645,3.1344874,9.915316
2018-10-19-09-30-39_2018-10-19-09-34-44-369.png,3227.866,6039.4194,3.4979973,9.568137
2018-10-19-09-30-39_2018-10-19-09-34-45-369.png,2618.5078,4536.4155,3.2917974,8.355062
2018-10-19-09-30-39_2018-10-19-09-35-05-482.png,2052.7578,3767.4482,2.1585426,2.8237863
2018-10-19-09-30-39_2018-10-19-09-35-08-985.png,2028.346,3533.2874,2.9044585,12.528113
2018-10-19-09-30-39_2018-10-19-09-35-17-891.png,2888.9497,6190.2124,3.2113597,8.140017
2018-10-19-09-30-39_2018-10-19-09-35-24-994.png,2437.132,4777.811,2.2938,5.4993057
2018-10-19-09-30-39_2018-10-19-09-35-28-193.png,1877.069,3660.0076,2.1852546,4.751914
2018-10-19-09-30-39_2018-10-19-09-35-41-003.png,2243.5818,4792.7915,2.4365003,5.0691133
2018-10-19-09-30-39_2018-10-19-09-35-43-004.png,2282.4346,4249.323,2.3423655,5.943035
2018-10-19-09-30-39_2018-10-19-09-35-44-506.png,2409.247,3962.4165,2.3029454,5.6918774
2018-10-19-09-30-39_2018-10-19-09-35-48-509.png,2337.3032,3836.7136,2.8103337,3.9181118
2018-10-19-09-30-39_2018-10-19-09-35-54-314.png,2294.7195,4802.954,2.7195818,4.037519
2018-10-19-09-30-39_2018-10-19-09-36-04-618.png,1991.2416,4237.993,2.858167,6.311008
2018-10-19-09-30-39_2018-10-19-09-36-05-621.png,1765.5461,3375.2139,2.5684457,5.2892838
2018-10-19-09-30-39_2018-10-19-09-36-07-123.png,1844.3105,4736.511,2.5513136,5.894402
2018-10-19-09-30-39_2018-10-19-09-36-13-223.png,2228.584,6254.9795,2.9572287,8.942927
2018-10-19-09-30-39_2018-10-19-09-36-14-220.png,2117.9753,6271.4004,2.7069497,8.590489
2018-10-19-09-30-39_2018-10-19-09-36-28-653.png,1954.1819,4876.8726,2.6426342,5.783687
2018-10-19-09-30-39_2018-10-19-09-36-35-557.png,2468.1995,7709.2583,2.4245882,6.5231943
2018-10-19-09-30-39_2018-10-19-09-36-53-169.png,1986.0868,4462.201,2.3979087,6.0848303
2018-10-19-09-30-39_2018-10-19-09-36-53-871.png,2208.3386,5192.6445,2.4421382,5.881369
2018-10-19-09-30-39_2018-10-19-09-36-55-173.png,2212.098,6182.412,2.4274323,5.869791
