image_name,mae,rmse,imae,irmse
2018-10-25-07-37-26_2018-10-25-07-41-58-446.png,2082.5908,7609.014,3.5391147,8.638016
2018-10-25-07-37-26_2018-10-25-07-42-00-537.png,1432.9663,4544.0293,2.6252983,8.225431
2018-10-25-07-37-26_2018-10-25-07-42-45-586.png,1357.5962,4107.9663,3.000429,7.7720723
2018-10-25-07-37-26_2018-10-25-07-42-51-085.png,976.80896,2199.2693,2.7364802,7.185689
2018-10-25-07-37-26_2018-10-25-07-42-52-291.png,777.7461,1791.3666,2.4750352,6.8605804
2018-10-25-07-37-26_2018-10-25-07-42-56-593.png,1088.4901,2050.8696,2.7987802,6.324942
2018-10-25-07-37-26_2018-10-25-07-43-01-201.png,985.9876,1878.1055,2.5909717,6.1285768
2018-10-25-07-37-26_2018-10-25-07-43-11-208.png,1946.9574,6271.2363,2.6958237,6.7053695
2018-10-25-07-37-26_2018-10-25-07-43-11-708.png,1951.6208,6194.0293,2.85563,8.807694
2018-10-25-07-37-26_2018-10-25-07-43-19-213.png,2384.8198,5346.946,5.22829,13.4433775
2018-10-25-07-37-26_2018-10-25-07-43-20-713.png,1232.6466,2314.1047,2.7096994,8.953386
2018-10-25-07-37-26_2018-10-25-07-43-25-217.png,2042.8488,6340.74,4.4577065,9.481268
2018-10-25-07-37-26_2018-10-25-07-43-33-231.png,1300.633,5322.917,2.7297008,5.8814073
2018-10-25-07-37-26_2018-10-25-07-43-42-431.png,1338.8381,2517.078,2.5164943,5.6276994
2018-10-25-07-37-26_2018-10-25-07-43-44-236.png,1449.8016,2797.8625,2.1931255,4.776437
2018-10-25-07-37-26_2018-10-25-07-43-46-739.png,1289.6605,2304.2366,2.1033294,5.1828823
2018-10-25-07-37-26_2018-10-25-07-43-50-241.png,1256.2167,3232.19,2.041752,5.0784516
2018-10-25-07-37-26_2018-10-25-07-43-52-742.png,1493.6187,2729.6475,2.0713258,5.491336
2018-10-25-07-37-26_2018-10-25-07-43-53-742.png,1590.01,3009.2036,2.3222096,5.313395
2018-10-25-07-37-26_2018-10-25-07-43-57-244.png,1309.99,3149.8748,2.9489589,8.655489
2018-10-25-07-37-26_2018-10-25-07-43-57-743.png,1325.6846,3177.367,2.9815514,7.30316
2018-10-25-07-37-26_2018-10-25-07-44-00-245.png,878.9593,1578.6577,2.4154935,6.6329527
2018-10-25-07-37-26_2018-10-25-07-44-02-356.png,1956.1996,4209.663,3.489116,8.257276
2018-10-25-07-37-26_2018-10-25-07-44-04-363.png,1171.7505,2111.5828,3.1000183,10.99102
2018-10-25-07-37-26_2018-10-25-07-44-08-356.png,2095.4487,4101.6377,4.193216,8.894842
