epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.521,1.35426,2.68669,1.20985,0.86203,0.37491,0.37384,0.25535,1.26877,1.26652,1.1805,7.145e-05,7.145e-05,7.145e-05
2,564.865,1.32442,1.95558,1.12477,0.81858,0.41429,0.51164,0.26202,1.32542,1.74927,1.31586,0.000141628,0.000141628,0.000141628
3,837.359,1.45949,1.82373,1.28376,0.81651,0.31429,0.35352,0.20143,1.34167,1.61119,1.35058,0.00019483,0.00019483,0.00019483
4,1111.35,1.39539,1.63213,1.21927,0.8434,0.21429,0.25999,0.16012,1.36926,1.5782,1.30148,0.000231055,0.000231055,0.000231055
5,1387.23,1.35502,1.43168,1.2289,0.81138,0.28571,0.30253,0.20309,1.29704,1.59977,1.37438,0.000250304,0.000250304,0.000250304
