epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2732.39,1.41522,1.49077,1.12277,0.5197,0.42598,0.44296,0.25263,1.29101,1.05638,1.07589,0.000255627,0.000255627,0.000255627
2,5499.41,1.33521,1.07138,1.09495,0.54712,0.46191,0.49084,0.29272,1.26216,1.01149,1.07524,0.000491687,0.000491687,0.000491687
3,8213.19,1.3253,1.04299,1.09116,0.55901,0.4962,0.5266,0.30854,1.23272,0.90404,1.06594,0.000707445,0.000707445,0.000707445
4,10911.6,1.29226,0.99199,1.08306,0.57261,0.51749,0.56262,0.34589,1.21475,0.90255,1.05755,0.000677643,0.000677643,0.000677643
5,13609.7,1.2584,0.9487,1.06877,0.65747,0.52936,0.58044,0.34919,1.18607,0.87693,1.04674,0.00064719,0.00064719,0.00064719
6,16297.4,1.22968,0.90899,1.05455,0.63986,0.56999,0.61617,0.3831,1.13368,0.79992,1.03218,0.000616738,0.000616738,0.000616738
7,18983.8,1.2105,0.8812,1.0472,0.72801,0.55424,0.65439,0.41342,1.11849,0.78093,1.0102,0.000586286,0.000586286,0.000586286
8,21597.4,1.18239,0.85202,1.03505,0.68914,0.61471,0.67347,0.42557,1.10167,0.75752,1.01522,0.000555833,0.000555833,0.000555833
9,24121.9,1.16746,0.83036,1.02803,0.76229,0.60548,0.68892,0.44088,1.08881,0.7432,1.00727,0.000525381,0.000525381,0.000525381
10,26501.3,1.13954,0.79914,1.01838,0.673,0.64651,0.69877,0.44952,1.06647,0.72482,0.9974,0.000494928,0.000494928,0.000494928
11,28888.5,1.12376,0.78706,1.01159,0.75713,0.64749,0.71787,0.46103,1.05873,0.70665,0.99354,0.000464476,0.000464476,0.000464476
12,31296.2,1.10164,0.75879,1.00227,0.75132,0.65861,0.72739,0.48385,1.01971,0.69152,0.98518,0.000434024,0.000434024,0.000434024
13,33761.2,1.08338,0.74725,0.99717,0.72814,0.67104,0.72918,0.48352,1.01982,0.68376,0.98094,0.000403571,0.000403571,0.000403571
14,36243.8,1.08005,0.73451,0.99587,0.80504,0.65609,0.75131,0.50077,1.00273,0.65662,0.97203,0.000373119,0.000373119,0.000373119
15,38744,1.05455,0.71931,0.98407,0.84456,0.65952,0.75772,0.50793,0.99829,0.63941,0.97085,0.000342666,0.000342666,0.000342666
16,41210.6,0.99397,0.64467,0.95668,0.7775,0.68708,0.76262,0.51102,0.98484,0.64872,0.96869,0.000312214,0.000312214,0.000312214
17,43695.5,0.98342,0.63407,0.9509,0.78194,0.68646,0.76689,0.52287,0.97821,0.6447,0.95885,0.000281762,0.000281762,0.000281762
18,46173.2,0.96227,0.61359,0.9435,0.80492,0.71254,0.77793,0.53395,0.96209,0.62524,0.95656,0.000251309,0.000251309,0.000251309
19,48652,0.94348,0.59672,0.93865,0.79339,0.73542,0.79066,0.5462,0.94767,0.60909,0.95349,0.000220857,0.000220857,0.000220857
20,51130.8,0.92678,0.58407,0.93412,0.81955,0.71398,0.79048,0.54957,0.93349,0.59205,0.94845,0.000190404,0.000190404,0.000190404
21,53612.7,0.90995,0.56769,0.92658,0.80086,0.7404,0.80063,0.561,0.91964,0.5819,0.94349,0.000159952,0.000159952,0.000159952
22,56090.5,0.89258,0.5542,0.92292,0.87486,0.70143,0.8038,0.56467,0.90651,0.57157,0.93851,0.0001295,0.0001295,0.0001295
23,58561.9,0.87198,0.53816,0.91453,0.79839,0.744,0.80902,0.5712,0.893,0.56225,0.93462,9.90472e-05,9.90472e-05,9.90472e-05
24,61021.4,0.85685,0.52885,0.90919,0.8612,0.73419,0.81394,0.58145,0.88038,0.55294,0.92973,6.85948e-05,6.85948e-05,6.85948e-05
25,63482,0.83948,0.51712,0.90407,0.84802,0.74369,0.81784,0.58665,0.86974,0.54537,0.92715,3.81424e-05,3.81424e-05,3.81424e-05
